EnsemblID,log2FoldChange,padj,Gene.name
ENSG00000006327.9,1.2716580278,4.70939841283735E-011,TNFRSF12A
ENSG00000144857.10,-0.880874341,4.71350053878308E-011,BOC
ENSG00000142149.4,1.638629356,4.77680783940427E-011,HUNK
ENSG00000101230.4,-0.7140716776,4.99115314104038E-011,ISM1
ENSG00000120162.8,1.4221098673,6.83549761530751E-011,MOB3B
ENSG00000171017.6,1.7294902235,8.84101118474567E-011,LRRC8E
ENSG00000105519.7,1.049811904,1.01867946029431E-010,CAPS
ENSG00000111077.12,-0.7565598874,1.07005925540563E-010,TENC1
ENSG00000120708.10,1.2206111699,1.07181261030163E-010,TGFBI
ENSG00000152661.7,1.0975242891,1.07181261030163E-010,GJA1
ENSG00000182175.9,-0.8923287099,1.11316931233664E-010,RGMA
ENSG00000050165.13,1.3762012637,1.13255713544131E-010,DKK3
ENSG00000111799.16,-0.8530905989,1.97531302074673E-010,COL12A1
ENSG00000105426.10,-0.808211215,2.01885632604076E-010,PTPRS
ENSG00000111863.7,1.3958045856,2.05324237976464E-010,ADTRP
ENSG00000205710.3,-0.8629331764,2.42113808997748E-010,C17orf107
ENSG00000188662.5,-1.1175199853,2.75170500342773E-010,HILS1
ENSG00000115641.13,1.1445209922,3.29766889319587E-010,FHL2
ENSG00000116194.8,0.9675765563,3.57407132189482E-010,ANGPTL1
ENSG00000255021.1,2.0560106139,3.81327131195546E-010,RP11-536I6.2
ENSG00000164309.10,-1.3121606689,3.94232804576844E-010,CMYA5
ENSG00000165323.11,1.7119005072,4.31717779018915E-010,FAT3
ENSG00000235568.2,-1.4527475536,4.49332955576438E-010,NFAM1
ENSG00000079931.10,1.0550701766,4.66032374029049E-010,MOXD1
ENSG00000260244.1,-1.3714895378,4.77599875670146E-010,RP11-588K22.2
ENSG00000107518.11,1.3956554933,4.90980114635137E-010,ATRNL1
ENSG00000106392.5,1.1399603423,5.578415441652E-010,C1GALT1
ENSG00000173917.9,1.5334436704,5.63114127192307E-010,HOXB2
ENSG00000132718.7,1.3551652802,6.14175287624879E-010,SYT11
ENSG00000168461.7,0.8522686049,6.62446695117435E-010,RAB31
ENSG00000129682.9,-0.9842276937,7.01083391286893E-010,FGF13
ENSG00000128284.15,-1.0569499323,7.04183563314215E-010,APOL3
ENSG00000054938.11,-1.3020323121,7.68587756804814E-010,CHRDL2
ENSG00000110076.14,-1.5557023012,7.82255474403822E-010,NRXN2
ENSG00000141469.12,-1.0645175024,8.15181228535831E-010,SLC14A1
ENSG00000105357.11,-1.4196099345,0.000000001,MYH14
ENSG00000171812.6,0.7679393593,1.09183577130792E-009,COL8A2
ENSG00000066468.15,-0.8295101264,1.39108330190391E-009,FGFR2
ENSG00000082781.6,0.6583352749,1.42369766011215E-009,ITGB5
ENSG00000226051.2,1.3290722551,1.50272900398673E-009,ZNF503-AS1
ENSG00000179300.3,-1.222237952,1.50272900398673E-009,ZCCHC5
ENSG00000204018.6,-1.1629372979,1.86354132684415E-009,TRABD2B
ENSG00000000971.11,-0.8540797248,1.87701798763218E-009,CFH
ENSG00000091592.11,-0.8323068891,2.1502496726132E-009,NLRP1
ENSG00000230043.1,0.9736198672,2.25079442068026E-009,TMSB4XP6
ENSG00000230838.1,1.8140556816,2.33860715478329E-009,AC093850.2
ENSG00000137501.11,1.1356927824,2.33860715478329E-009,SYTL2
ENSG00000006740.11,1.3293070721,2.36456340889073E-009,ARHGAP44
ENSG00000178882.8,-1.4501921977,2.36925234232087E-009,FAM101A
ENSG00000069535.11,-0.8057526665,2.46129610353382E-009,MAOB
ENSG00000112378.10,0.6490304216,2.46129610353382E-009,PERP
ENSG00000137767.9,1.4871542774,2.50240153424815E-009,SQRDL
ENSG00000135318.7,1.1835543837,2.57722068198435E-009,NT5E
ENSG00000137331.11,1.0998298982,2.85270094861383E-009,IER3
ENSG00000134243.7,0.9347001521,3.07331551578432E-009,SORT1
ENSG00000137449.11,1.0684032695,3.45177128641423E-009,CPEB2
ENSG00000170745.7,1.5823156697,4.55798987116764E-009,KCNS3
ENSG00000256995.2,-1.0464990592,4.70815895804727E-009,RP11-114G22.1
ENSG00000124006.9,-0.6693126341,5.06527635191798E-009,OBSL1
ENSG00000139146.9,1.3484378056,5.48032637140986E-009,FAM60A
ENSG00000149948.9,1.8419527613,0.000000006,HMGA2
ENSG00000164484.7,1.3697204796,6.42244328910789E-009,TMEM200A
ENSG00000005059.11,0.8940704779,0.000000007,CCDC109B
ENSG00000111859.12,1.1303719308,7.15069245953557E-009,NEDD9
ENSG00000168209.4,-1.1106236115,7.26882971692584E-009,DDIT4
ENSG00000130508.6,0.9108788911,7.54316457534587E-009,PXDN
ENSG00000152049.4,1.0459584623,7.57715303670936E-009,KCNE4
ENSG00000129244.4,-1.076146844,7.77109610505822E-009,ATP1B2
ENSG00000136052.5,0.8189156754,8.06196575932297E-009,SLC41A2
ENSG00000120278.10,1.2323944765,8.48598133692226E-009,PLEKHG1
ENSG00000166402.4,-0.8161293534,8.83548004157091E-009,TUB
ENSG00000140332.11,-0.7376165956,9.38463758747606E-009,TLE3
ENSG00000188112.4,1.4642018218,1.15553392044132E-008,C6orf132
ENSG00000204071.5,-1.1279777163,1.18242072940885E-008,TCEAL6
ENSG00000197956.5,0.7881047314,1.18242072940885E-008,S100A6
ENSG00000172348.10,-1.3853757255,1.22879656011556E-008,RCAN2
ENSG00000169442.4,-1.7342462158,1.24860393355158E-008,CD52
ENSG00000186827.6,-1.6164316217,1.30775204743318E-008,TNFRSF4
ENSG00000204248.6,-1.0408167875,1.3587676626026E-008,COL11A2
ENSG00000145431.6,0.9336129036,1.42080076777615E-008,PDGFC
ENSG00000109586.7,1.0337972026,1.43139946787599E-008,GALNT7
ENSG00000090339.4,-0.6901857824,1.5564140972979E-008,ICAM1
ENSG00000157514.12,0.7828853931,1.6812708116924E-008,TSC22D3
ENSG00000154358.15,-1.0741330744,2.5421086297668E-008,OBSCN
ENSG00000165169.6,0.6068441486,2.66846481689571E-008,DYNLT3
