EntrezID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	SYMBOL
100017	310.425557316338	1.17709238785399	0.140978059283068	8.34947220751932	6.85686782337808e-17	1.06933137047227e-15	Ldlrap1
100019	2799.35808050583	-0.462155815871516	0.120946864901707	-3.82114754480911	0.00013283214928716	0.000431171328620763	Mdn1
100033459	732.323173466042	-0.142069325030918	0.125709967293668	-1.13013572502993	0.258419038259997	0.354558937370297	Pydc3
100034361	1686.51005486074	-0.0319895324096958	0.0842975288975713	-0.379483631703675	0.704328756935782	0.780283871480309	Mfap1b
100034363	90.7047165194577	0.219100314427661	0.229204871826437	0.955914735501662	0.339115313657395	0.440002702409928	Tmsb15b2
100034726	1585.88119624896	0.207378762069888	0.0861725496213096	2.40655246921701	0.0161038905488933	0.0326753134040449	Gm15772
100036521	881.747604791577	0.5253994743297	0.101144670683767	5.19453443051272	2.05232789919124e-07	1.06883424446381e-06	Gm16039
100036523	93.2442612347681	-0.165671203758876	0.212167118149243	-0.78085240165415	0.434889309800968	0.536831308936608	Gm16982
100036768	155.040956563587	0.601594701087317	0.170682794502473	3.52463587698408	0.000424065265712915	0.00124449635521037	Gm11696
100037258	2221.50621700193	0.215671274818954	0.0798122894406864	2.70223140233602	0.00688758086315099	0.0153869752432114	Dnajc3
100037260	26.9075081807523	-0.180975896494226	0.335080175160153	-0.540097295841891	0.589129935478647	0.681390247164087	9430060I03Rik
100037262	245.363534378185	0.299911669926729	0.139340542849308	2.15236473027863	0.0313686392872254	0.0588981316766113	Gm12359
100037278	13410.3839098505	1.14242363321778	0.123870945554722	9.22269244092512	2.89731925668203e-20	6.20102998566236e-19	Fam129c
100037282	350.166549213258	0.192384518641439	0.127655664703278	1.50705821859623	0.131795735076079	0.201429712814709	Rsph3b
100037283	178.859993641292	0.439272534885245	0.174698781406049	2.51445677725852	0.011921591483124	0.0250512729717762	Rnaset2a
100038358	37.0932159660219	-1.2501007083277	0.308510545481971	-4.05205179088687	5.07704223944659e-05	0.000178184352867372	Gm10857
100038392	46.5689328361843	0.36254905335188	0.290944187400139	1.24611203472253	0.212723267161116	0.302265666515833	Gm10785
100038412	45.8487131013111	-0.596893161044195	0.273669636830335	-2.1810719229121	0.0291780971669613	0.0552801901145141	Faddos
100038429	38.8958305422239	0.319809490771134	0.285372479426616	1.12067390455348	0.26242669392005	0.358363891998891	Gm10505
100038464	912.264309692428	1.1937825996966	0.134570742597382	8.87104118365638	7.24651464678474e-19	1.36514207705319e-17	Gm15441
100038467	93.5049894490377	-0.0963681207470393	0.21301678074312	-0.452396850665259	0.650983115349624	0.734838567496355	A630072L19Rik
100038538	135.689457623615	0.0757258950732452	0.176540949969092	0.42894237901463	0.667965158286397	0.749696116045691	Gm10767
100038548	103.461480454489	0.827191326416039	0.229874737566868	3.59844380975277	0.000320126995847408	0.000962676718986547	Gm10521
100038566	47.3522881257863	0.41050633331996	0.282137337481747	1.4549876205113	0.145672688707003	0.219293469158448	Gm10658
100038591	70.9442074351505	0.571486332631793	0.233757203897375	2.4447859706719	0.0144938125494301	0.0297874288772277	F420014N23Rik
100038602	78.7184311508916	-0.0058347542798871	0.23880998754532	-0.0244326225207805	0.980507527078542	0.988429733395081	Gm10865
100038707	33.251832457311	0.862168168675361	0.324071192101475	2.66042829380957	0.00780413427589585	0.0171736459225836	Gm10388
100038713	95.1296990909817	0.541084250753008	0.205087731469243	2.63830628422625	0.00833212893163558	0.0181800662485986	Gm10432
100038725	71.0578971703026	0.318842115329609	0.254274203302723	1.25393025005378	0.209867358787547	0.299183862527399	Cep85l
100038735	307.95081583026	-0.10769301085848	0.151609176927982	-0.710333061893982	0.477497622070927	0.579135305526195	Gm10384
100038755	52.4065889646799	0.144927743306889	0.269635262178723	0.537495512032943	0.590925384164345	0.682839069147654	Gm9917
100038852	4216.21766125249	0.784267421810386	0.0859819341570521	9.12130471940612	7.42252788576427e-20	1.53353760442743e-18	Gm1974
100038875	5518.90241288269	0.0424888795199226	0.0826327796553425	0.514189159521703	0.607119746135708	0.696858248757956	Rps23-ps1
100038882	151.276368006272	-0.249035063929265	0.253689178388964	-0.981654264918769	0.326270204014739	0.427450966194732	Isg15
100038991	3939.89398396973	0.0227305787011182	0.0740956221589405	0.306773572294993	0.759015725204518	0.825190138258245	Gm2000
100038999	69.2993120974198	-0.780105572842775	0.236672337419396	-3.2961417517096	0.000980225428665204	0.00267359968762887	Gm13552
100039000	38.4995508317677	0.317165691694912	0.299298731702744	1.05969607652702	0.289282888321395	0.387696598197779	Gm2004
100039027	29.5182246592598	0.0225533049475293	0.32879973991391	0.0685928308624407	0.945313725570523	0.964558991066647	Gm2011
100039042	39.3110956303897	-1.27549832100736	0.336588581017046	-3.78948779888279	0.000150958225394226	0.000484452672311063	Gm2016
100039060	140.543823872563	0.2239019425361	0.186175733291291	1.20263762939385	0.229116579389886	0.32152428257961	0610010B08Rik
100039062	94.6860271313789	-0.557759929516929	0.2185123586163	-2.55253264872005	0.0106942886068621	0.0227595367682128	Gm2027
100039078	69.5212978193271	-0.44704950992817	0.240516760606069	-1.85870418677545	0.0630690796977768	0.107897872520131	Gm2036
100039133	328.327176962825	1.16181977892547	0.129647945522825	8.96134353876763	3.20746071603056e-19	6.21829969638664e-18	Gm2058
100039192	47.7988512545792	-0.0341771200386157	0.268965731086788	-0.127068678602731	0.898886041328125	0.930783588797973	Tmem254c
100039220	969.994072309162	-0.0212168301038715	0.0959593125597309	-0.22110235617481	0.82501273569674	0.876822884967474	Gm12751
